Lap,Elapsed Time (ms),Speed (MPH),Latitude (decimal),Longitude (decimal),Lateral Acceleration (m/s^2),Longitudinal Acceleration (m/s^2),Throttle Position (%),Brake Pressure (bar),Steering Angle (deg),Steering Angle Rate (deg/s),Yaw Rate (rad/s),Power Level (KW),State of Charge (%),Tire Pressure Front Left (bar),Tire Pressure Front Right (bar),Tire Pressure Rear Left (bar),Tire Pressure Rear Right (bar),Brake Temperature Front Left (% est.),Brake Temperature Front Right (% est.),Brake Temperature Rear Left (% est.),Brake Temperature Rear Right (% est.),Front Inverter Temp (%),Rear Inverter Temp (%),Battery Temp (%),Tire Slip Front Left (% est.),Tire Slip Front Right (% est.),Tire Slip Rear Left (% est.),Tire Slip Rear Right (% est.)
0,40,0,33.096632,-117.292452,-0.10875,0.5125,0,5.700001,18.9,0,0.001,0.62786,53.662182,0,0,0,0,0.027143,0.027143,0.027143,0.027143,0.61,0.68,0.672,-0.076389,-0.076389,-0.076389,-0.076389
0,54,0,33.096632,-117.292452,-0.08125,0.51125,0,5.100001,19,0,0,0.62792,53.662182,0,0,0,0,0.027143,0.027143,0.027143,0.027143,0.61,0.68,0.672,-0.076389,-0.076389,-0.076389,-0.076389
0,83,0,33.096632,-117.292452,-0.1,0.5075,0,4.800001,19,0,-0.0003,0.627855,53.662182,0,0,0,0,0.027143,0.027143,0.027143,0.027143,0.61,0.68,0.672,-0.076389,-0.076389,-0.076389,-0.076389
0,96,0,33.096632,-117.292452,-0.1,0.5075,0,4.800001,19,0,-0.0003,0.627855,53.662182,0,0,0,0,0.027143,0.027143,0.027143,0.027143,0.61,0.68,0.672,-0.076389,-0.076389,-0.076389,-0.076389
0,113,0,33.096632,-117.292452,-0.1325,0.52,0,4.200001,18.9,0,-0.0002,0.6463,53.662182,0,0,0,0,0.027143,0.027143,0.027143,0.027143,0.61,0.68,0.672,-0.076389,-0.076389,-0.076389,-0.076389
0,133,0,33.096632,-117.292452,-0.085,0.49125,0,3.900001,19,0,-0.0007,0.641631,53.662182,0,0,0,0,0.027143,0.027143,0.027143,0.027143,0.61,0.68,0.672,-0.076389,-0.076389,-0.076389,-0.076389
0,163,0,33.096632,-117.292452,-0.085,0.49125,0,3.900001,19,0,-0.0007,0.641631,53.662182,0,0,0,0,0.027143,0.027143,0.027143,0.027143,0.61,0.68,0.672,-0.076389,-0.076389,-0.076389,-0.076389
0,180,0,33.096632,-117.292452,-0.0325,0.515,0,3.600001,18.9,0,0.0001,0.612844,53.662182,0,0,0,0,0.027143,0.027143,0.027143,0.027143,0.61,0.68,0.672,-0.076389,-0.076389,-0.076389,-0.076389
0,200,0,33.096632,-117.292452,-0.05125,0.4625,0,3.000001,19,0,-0.0004,0.617665,53.662182,0,0,0,0,0.027143,0.027143,0.027143,0.027143,0.61,0.68,0.672,-0.076389,-0.076389,-0.076389,-0.076389
0,213,0,33.096632,-117.292452,-0.15125,0.515,0,2.700001,19,0,0.0004,0.625333,53.662182,0,0,0,0,0.027143,0.027143,0.027143,0.027143,0.61,0.68,0.672,-0.076389,-0.076389,-0.076389,-0.076389
0,246,0,33.096632,-117.292452,-0.1825,0.5175,0,2.400001,18.9,0,0.0004,0.627306,53.662182,0,0,0,0,0.027143,0.027143,0.027143,0.027143,0.61,0.68,0.672,-0.076389,-0.076389,-0.076389,-0.076389
0,272,0,33.096632,-117.292452,-0.11375,0.505,0,2.100001,18.9,0,-0.0002,0.627786,53.662182,0,0,0,0,0.027143,0.027143,0.027143,0.027143,0.61,0.68,0.672,-0.076389,-0.076389,-0.076389,-0.076389
0,273,0,33.096632,-117.292452,-0.07625,0.49875,0,2.100001,18.9,0,0.0001,0.609424,53.662182,0,0,0,0,0.027143,0.027143,0.027143,0.027143,0.61,0.68,0.672,-0.076389,-0.076389,-0.076389,-0.076389
0,289,0,33.096632,-117.292452,-0.12375,0.48125,0,1.800001,18.9,0,-0.0001,0.62335,53.662182,0,0,0,0,0.027143,0.027143,0.027143,0.027143,0.61,0.68,0.672,-0.076389,-0.076389,-0.076389,-0.076389
0,305,0,33.096632,-117.292452,-0.12375,0.48125,0,1.800001,18.9,0,-0.0001,0.62335,53.662182,0,0,0,0,0.027143,0.027143,0.027143,0.027143,0.61,0.68,0.672,-0.076389,-0.076389,-0.076389,-0.076389
